Uniprot.ID,V_log2.i._TMT_1,V_log2.i._TMT_3,V_log2.i._TMT_5,V_log2.i._TMT_7,V_log2.i._TMT_9,D_log2.i._TMT_2,D_log2.i._TMT_4,D_log2.i._TMT_6,D_log2.i._TMT_8,D_log2.i._TMT_10
Q9NUJ3,18.86505301,18.81378574,18.88331355,18.80881433,18.84520362,18.82847546,18.6607589,18.86505301,18.72268367,18.74591534
Q07820,18.62369634,18.49075433,18.44451168,18.53616686,18.49075433,18.46091711,18.49722825,18.30635017,18.50905904,18.31920933
Q9NXC5,22.27605637,22.27773161,22.27453303,22.33295556,22.25706067,22.25706067,22.27919091,22.25474689,22.19595884,22.19200907
Q9NUJ1,24.89098748,24.80237622,24.83595295,24.84019976,24.89436354,24.78818306,24.74708377,24.8050886,24.77811368,24.70446062
O60504,19.65312353,19.59820756,19.58559468,19.62115302,19.64345898,19.53568973,19.59168865,19.6071707,19.48752053,19.52197647
Q5ST30,19.31474134,19.16178172,19.22800245,19.20507971,19.18482788,19.20507971,19.31292636,19.24976304,19.36373381,19.31474134
Q96G74,23.7971845,23.74843151,23.77312921,23.81613107,23.81060162,23.73156789,23.69119765,23.69119765,23.79577764,23.69119765
A6NKD9,20.1468826,19.9783017,19.9834427,20.08795052,20.16257061,20.04463408,19.95879725,19.97141863,19.99492777,19.97141863
Q15906,21.05874806,21.07766548,21.10296768,21.1952244,21.101169,21.11535058,21.0388994,20.97540804,21.01738957,21.06153004
O75251,21.43800166,21.42671117,21.39707019,21.4499504,21.32074347,21.47528771,21.50326115,21.4143775,21.44068544,21.51839302
